Frequency=3500(MHz)

Phi 	Theta	     ETotal.dB	         E(Phi).AmpdB	    E(Theta).AmpdB	     E(Phi).Phase	     E(Theta).Phase
0	2.5132741229	-4.62599788277795	-16.0793045039059	-4.94845868758967	0.460344377571737	-1.79995366104182
0	2.5656340004	-5.63763248598903	-19.177708108221	-5.83422607390899	0.860986039433637	-1.74626911167015
0	2.617993878	-5.61143518539316	-17.9369984664776	-5.87341083264441	0.772461120301247	-1.79426421204734
0	2.6703537556	-4.36500870519358	-13.5810650310267	-4.91911007115914	0.205029142359665	-1.95604650133982
0	2.7227136331	-4.09106251190245	-12.8557913097323	-4.71037392853332	-0.188219450211839	-2.11738075884375
0	2.7750735107	-5.83880844197595	-19.6497156315026	-6.02326052121914	-0.584166611813975	-2.21953906492038
0	2.8274333882	-7.80374396132989	-21.7076617673244	-7.98420537593853	1.32738237660929	-2.15539143309956
0	2.8797932658	-6.61213627669796	-10.3114749803278	-9.02789628585587	1.01334356087596	-1.95266781909414
0	2.9321531434	-5.51434176218233	-7.52185046879614	-9.83076835140594	0.722654286564516	-1.93846000738548
0	2.9845130209	-7.39700714941823	-9.92192670571874	-10.9538414296495	0.419624443219166	-2.21472095500946
0	3.0368728985	-9.42482568899175	-13.3553984199914	-11.6761724261526	0.118098294161772	-2.42323169708574
0	3.089232776	-9.95889546747878	-11.7424552656054	-14.6851648456993	0.31270655752465	-2.39224946500113
0	3.1415926536	-9.35696038173099	-9.52689611506395	-23.5166472050052	0.49150749412139	-3.07762716000676
0.05235987756	-3.1415926536	-9.35880628333052	-9.45829431159461	-25.808590212263	-2.65429182778078	-0.0779155554079642
0.05235987756	-3.089232776	-9.86606575219268	-11.4027379097634	-15.1238011609002	-2.62157068099535	-1.21285350406463
0.05235987756	-3.0368728985	-10.4454650049877	-13.9550070825171	-13.0080416132817	-2.61211850037462	-1.28353631211081
0.05235987756	-2.9845130209	-9.48580165302626	-10.827306070637	-15.2412237333021	-2.44164377165995	-1.99818463992953
0.05235987756	-2.9321531434	-6.32187899372213	-8.66872429119311	-10.1155868419108	-2.22053718097667	-2.51135914647838
0.05235987756	-2.8797932658	-5.65922420174773	-11.771002141902	-6.87863937362216	-1.85296809563977	-2.22043476580569
0.05235987756	-2.8274333882	-5.3329905619936	-21.2927301086583	-5.44451619716147	-1.09095580127657	-1.86454780540061
0.05235987756	-2.7750735107	-5.7477665827766	-23.2698623896436	-5.82529220227744	2.8458790809154	-1.78940164054743
0.05235987756	-2.7227136331	-5.73077053491281	-13.1116388205499	-6.60734599806153	-2.96052507102678	-2.02037653191291
0.05235987756	-2.6703537556	-5.28254600231859	-12.8550049614837	-6.11740444867395	-2.47920099778919	-2.11784054371981
0.05235987756	-2.617993878	-5.05081989664052	-15.2173320461364	-5.49028146683355	-1.77011422183934	-1.91390886359557
0.05235987756	-2.5656340004	-4.26075694156259	-16.3118269858852	-4.54038695994753	-1.56847978417612	-1.73729258523305
0.05235987756	-2.5132741229	-3.15393112734586	-15.4030700452837	-3.42070344301864	-1.98658642153814	-1.76263816513995
0.05235987756	-2.4609142453	-2.04784969011655	-13.4287097373087	-2.3759448254588	-2.07958132395905	-1.83643729117333
0.05235987756	-2.4085543678	-1.59765330734712	-12.5713596379772	-1.95937472549725	-2.0264577963969	-1.85517185168505
0.05235987756	-2.3561944902	-1.74400348423053	-12.5339693439925	-2.12205700485712	-2.12544664094668	-1.88208979881048
0.05235987756	-2.3038346126	-2.11714123538223	-14.4961679657881	-2.37581423197353	-2.18043547684872	-1.96448521213468
0.05235987756	-2.2514747351	-2.70838082149756	-19.055230845889	-2.81028323424333	-1.65453345068186	-2.02504931757505
0.05235987756	-2.1991148575	-3.62245197205182	-18.2268071893873	-3.77555416473727	-1.12953902313714	-1.97812169172747
0.05235987756	-2.14675498	-4.18517056998744	-17.9095060295202	-4.3734180366852	-1.74884284530208	-1.84455066586025
0.05235987756	-2.0943951024	-3.50896518279828	-16.7119568894292	-3.72182046760398	-2.56992598275497	-1.77466399591971
0.05235987756	-2.0420352248	-2.94167628066732	-20.3030029997693	-3.02215281257078	2.90537908646514	-1.81611845547583
0.05235987756	-1.9896753473	-3.45305092878399	-22.5493567535353	-3.50685824324744	1.1870026177975	-1.89699803088375
0.05235987756	-1.9373154697	-4.95397800817786	-19.8364762298912	-5.097423539832	0.00303826346767007	-1.93447118843631
0.05235987756	-1.8849555922	-6.19318835277682	-17.863351231112	-6.49937585270999	-0.780643140073407	-1.83310036954484
0.05235987756	-1.8325957146	-6.47983488802994	-20.163143272782	-6.66990879738313	-0.96849323692594	-1.66334503646336
0.05235987756	-1.780235837	-6.63573483414515	-28.5291873934277	-6.6639087354489	0.175849089338795	-1.57599981202976
0.05235987756	-1.7278759595	-7.02534226082119	-23.5332287197068	-7.12349308805114	0.914798497225503	-1.51956788169091
0.05235987756	-1.6755160819	-7.05189314781313	-23.5676253026037	-7.14986480857858	0.191007760059705	-1.38765067124017
0.05235987756	-1.6231562044	-6.2199781288591	-20.6471846473599	-6.3795730135379	-0.47415122193936	-1.25478033480857
0.05235987756	-1.5707963268	-5.77006773735667	-22.6970613617786	-5.85909617798117	-0.583197676657356	-1.23718812987339
0.05235987756	-1.5184364492	-5.8380932704689	-31.10585749113	-5.85102493148882	0.206658271906783	-1.28937150958198
0.05235987756	-1.4660765717	-5.87166537296791	-25.7745918928094	-5.91630512103339	0.868664976096481	-1.28142160078026
0.05235987756	-1.4137166941	-5.99289334055161	-22.2467454703223	-6.09702803066892	0.469034489238608	-1.1986827235053
0.05235987756	-1.3613568166	-6.62347042842172	-21.5392732501993	-6.76580197573107	0.139178706495456	-1.16321483656914
0.05235987756	-1.308996939	-7.49370275084747	-22.742543051187	-7.62536669071415	-0.0420284890276871	-1.22112092272583
0.05235987756	-1.2566370614	-7.73941402800302	-22.6949056592555	-7.88042952585333	-0.0205263760167276	-1.23815534657678
0.05235987756	-1.2042771839	-7.71294481463599	-21.3392771911219	-7.90558526854205	0.064984948436991	-1.14126933738253
0.05235987756	-1.1519173063	-8.31235929422535	-20.8310262897646	-8.56260688850284	0.0380831090426444	-1.04214315240205
0.05235987756	-1.0995574288	-9.43969170904801	-20.2176904663753	-9.8188352905922	-0.178230184148783	-1.00572981557763
0.05235987756	-1.0471975512	-9.8755182394819	-18.6395923605575	-10.4949300073969	-0.478866901148227	-0.954749804855607
0.05235987756	-0.9948376736	-9.63403329446077	-18.2426566628134	-10.2777748454487	-0.754261162553562	-0.839680046332504
0.05235987756	-0.9424777961	-9.77316038218473	-20.3221297958091	-10.1738110865245	-0.953574904568643	-0.745237120975111
0.05235987756	-0.8901179185	-10.1477946310558	-23.5804457528641	-10.3494277414647	-0.670566438170811	-0.705234033755862
0.05235987756	-0.837758041	-9.79233808043492	-20.9989655446877	-10.1344062944392	-0.167380363707676	-0.68211403427494
0.05235987756	-0.7853981634	-9.43935069087909	-18.7876137018083	-9.97576808331733	-0.280043857174238	-0.664693998963056
0.05235987756	-0.7330382858	-10.1553384637617	-18.6330570369926	-10.8203659587974	-0.630787539845306	-0.661713777785092
0.05235987756	-0.6806784083	-11.2579351949057	-18.7308194303088	-12.1141952761195	-0.810573139395636	-0.611386880984428
0.05235987756	-0.6283185307	-11.2794171922181	-18.7576999870309	-12.1345015997819	-0.689089684625243	-0.476305160834858
0.05235987756	-0.5759586532	-10.7331384448156	-18.6807441653218	-11.4924811363769	-0.602751921148109	-0.40651892355034
0.05235987756	-0.5235987756	-11.2310117350915	-18.5432733738852	-12.1230805791512	-0.667332300817437	-0.438725024716622
0.05235987756	-0.47123889804	-12.1016150200954	-17.3918207422579	-13.6245760897008	-0.679888023632363	-0.439947325888259
0.05235987756	-0.41887902048	-11.78581840164	-16.1599070920355	-13.7597965215646	-0.654966786245199	-0.310696595987846
0.05235987756	-0.36651914292	-11.4036952059403	-16.5198731285731	-13.001884461483	-0.71215019854206	-0.278489906078534
0.05235987756	-0.31415926536	-12.6810030024935	-18.1518595932879	-14.1302713651722	-0.763161819931747	-0.43561289280047
0.05235987756	-0.2617993878	-14.9586823976019	-17.9507426954938	-17.9872989397701	-0.64068928756729	-0.652194334813534
0.05235987756	-0.20943951024	-14.4724484002354	-15.03471083509	-23.6289993935371	-0.613686177759181	-0.495165333337949
0.05235987756	-0.15707963268	-12.4501457585412	-12.8537187011625	-22.9689924382393	-0.7157724106044	-0.137211374156082
0.05235987756	-0.10471975512	-12.0712411801452	-12.8200314999882	-20.0744992826186	-0.705494163918786	-0.423672527521069
0.05235987756	-0.05235987756	-13.123555781749	-14.190739938736	-19.7416762203703	-0.416570166025184	-0.595083227212772
0.05235987756	-4.4408920985E-16	-14.1467116488297	-14.5321302947307	-24.8565117851639	-0.120878540801847	-0.321584616016618
0.05235987756	0.05235987756	-14.4929099747678	-14.4958497102768	-46.1891402901136	2.88322911508832	-1.43995616170698
0.05235987756	0.10471975512	-13.1168331293317	-13.7418921970352	-21.8442474190353	2.58206507282258	0.665760882345142
0.05235987756	0.15707963268	-11.9357153138913	-13.6795056917565	-16.7413761417328	2.51915326712652	0.783454531248247
0.05235987756	0.20943951024	-13.394592215772	-15.4240027598923	-17.6739997403663	2.60669214051466	0.455162217643209
0.05235987756	0.2617993878	-14.2917140582509	-17.6361712438518	-16.9917409251562	2.57693745523482	-0.198921344445538
0.05235987756	0.31415926536	-13.1187523090106	-17.3585565710076	-15.171925813382	2.44196116120437	-0.223664735934452
0.05235987756	0.36651914292	-12.3451982236889	-15.7900994608955	-14.9604587457534	2.48594584447176	0.0209823625584477
0.05235987756	0.41887902048	-12.6266332467619	-15.602836840896	-15.6712993753506	2.56741582589109	-0.0352012586320357
0.05235987756	0.47123889804	-12.6452432489091	-16.8363471221665	-14.7281191106079	2.56667366771633	-0.378431649298226
0.05235987756	0.5235987756	-11.5380379969353	-17.5607662307082	-12.7867161545715	2.58880475971517	-0.425278433598285
0.05235987756	0.5759586532	-10.7310289377719	-17.0507524228444	-11.8851179467868	2.69240355670892	-0.290064457001742
0.05235987756	0.6283185307	-10.4989154998402	-16.9678643287039	-11.6085806631768	2.67308734511662	-0.24843071280695
0.05235987756	0.6806784083	-10.4210723302923	-17.3978068119534	-11.3934199079306	2.51629453297962	-0.301591474489033
0.05235987756	0.7330382858	-10.4069848593048	-17.3153740057224	-11.3966528269801	2.54518089820528	-0.28626312628319
0.05235987756	0.7853981634	-10.7194519407999	-17.0420954101029	-11.8726525127988	2.81190093747198	-0.239878608388604
0.05235987756	0.837758041	-11.1728345753946	-17.812922264258	-12.2339194439755	2.95082920616987	-0.340206852727109
0.05235987756	0.8901179185	-11.0606982091766	-19.5268773426543	-11.7276381464841	2.71170483061977	-0.534795262610509
0.05235987756	0.9424777961	-10.4597606082067	-18.5573515446511	-11.1910269981106	2.44536870385975	-0.624929639018914
0.05235987756	0.9948376736	-10.1521723957503	-17.2532045840422	-11.0938797834977	2.54896064066882	-0.621333541595527
0.05235987756	1.0471975512	-9.82885663564503	-17.5629270820362	-10.6302200166517	2.74278075430266	-0.633096152418069
0.05235987756	1.0995574288	-9.26009038978022	-19.2367868159445	-9.72026231700274	2.85724168833137	-0.708891973406748
