2
Theta=90.0000000000002(deg)

Frequency	Phi	E Total. dB	E(Phi) . Amp dB	E(Theta) . Amp dB	E(Phi) . Phase	E(Theta) . Phase
915000000	1.4137166941	-12.4394179647592	-31.7290935934707	-12.4908681232203	-2.09228771985065	0.086464641027496
915000000	1.4660765717	-12.410625038976	-32.179213578151	-12.4566746433198	-2.07280270293484	0.0926960800437957
915000000	1.5184364492	-12.3852166048797	-32.6368558315303	-12.4263957874012	-2.05034602501468	0.0983372504785832
915000000	1.5707963268	-12.3667983099262	-33.0910489204123	-12.4037133799309	-2.02475412097579	0.103403462389926
915000000	1.6231562044	-12.3484866284584	-33.5518029580846	-12.3815314852083	-1.99582054383397	0.107740170394613
915000000	1.6755160819	-12.3339418069295	-34.012510387183	-12.363549666019	-1.96313966944446	0.111358615136911
915000000	1.7278759595	-12.3232875529781	-34.4785125151986	-12.3498083872707	-1.92666624468159	0.114268503482743
915000000	1.780235837	-12.3130098767407	-34.9519348760644	-12.3367278278344	-1.88609193503215	0.116470471472619
915000000	1.8325957146	-12.3067097786737	-35.4402850971733	-12.3278682493288	-1.84111617826048	0.118057932520565
915000000	1.8849555922	-12.300733939796	-35.9424010253978	-12.3195512753676	-1.79075018208599	0.119109060405616
915000000	1.9373154697	-12.2987047087309	-36.4721158139082	-12.315349377936	-1.73441168303014	0.119674857487034
915000000	1.9896753473	-12.2968549895061	-37.0280235564581	-12.3114902012317	-1.67046497928606	0.119912376407339
915000000	2.0420352248	-12.2951420188332	-37.6250668212574	-12.3078896372826	-1.59719050031238	0.119903985365024
915000000	2.0943951024	-12.2968677195955	-38.2576489925054	-12.3078896372826	-1.51174212040505	0.119903985365024
915000000	2.14675498	-12.2983281317521	-38.9344455724249	-12.3077610077568	-1.41035924526326	0.120026836699489
915000000	2.1991148575	-12.2993243170376	-39.6232183957969	-12.3073743441415	-1.2885113150801	0.120395368846366
915000000	2.2514747351	-12.3031620291421	-40.2925357070497	-12.3100674820896	-1.1406422964333	0.121264099020726
915000000	2.3038346126	-12.3060840625503	-40.863654105261	-12.3121420751526	-0.96220587385465	0.122706807511009
915000000	2.3561944902	-12.3113203790892	-41.2176256514114	-12.3169106553175	-0.753340128465589	0.124979805613725
915000000	2.4085543678	-12.3150470667632	-41.2258600435927	-12.3206315399152	-0.523216938781519	0.128156712118128
915000000	2.4609142453	-12.3204561880714	-40.8187835558076	-12.3265974638782	-0.290541111286613	0.132455927391068
915000000	2.5132741229	-12.323719684542	-40.0369434278578	-12.3310788716385	-0.075753641686781	0.137867200356579
915000000	2.5656340004	-12.3279186489694	-39.0032376054632	-12.3372666711226	0.108540353366557	0.144612848737388
915000000	2.617993878	-12.3327553437203	-37.8621595471944	-12.3449298813295	0.260224679793345	0.15269971828701
915000000	2.6703537556	-12.3377619862099	-36.6905734070119	-12.3537318575797	0.382472730856413	0.162176512798766
915000000	2.7227136331	-12.3390443097327	-35.5595444016173	-12.3597824973346	0.481190139548361	0.17297999055869
915000000	2.7750735107	-12.3432548807263	-34.4952202995115	-12.3697956883429	0.561805153629799	0.185256080919595
915000000	2.8274333882	-12.3430827777543	-33.5049963457318	-12.3764453876314	0.627404014429551	0.198740861486739
915000000	2.8797932658	-12.341740222854	-32.5941627139288	-12.382911943932	0.682730119780864	0.213470295991669
915000000	2.9321531434	-12.3390586942934	-31.7601248518124	-12.388966756641	0.728957895815091	0.229326538098856
915000000	2.9845130209	-12.3350420015312	-31.0005059578567	-12.3944996055273	0.768586698425097	0.246150746778114
915000000	3.0368728985	-12.3297866651855	-30.3113494704769	-12.3994665407368	0.803013401920737	0.263784272422045
915000000	3.089232776	-12.3236687944089	-29.6926300924681	-12.4040026633407	0.832899137896693	0.282029103892692
915000000	3.1415926536	-12.3170064290909	-29.1383867302261	-12.4082496175739	0.859374596814692	0.300729221845244
915000000	3.1939525311	-12.3070460155555	-28.6420422771659	-12.409230246078	0.883087750917705	0.319520329924791
915000000	3.2463124087	-12.2949191495938	-28.2049554721535	-12.4077453008391	0.904249288590274	0.338112250709406
915000000	3.2986722863	-12.2879427371254	-27.8238444502077	-12.4110647471262	0.923159958749453	0.356669986973528
915000000	3.3510321638	-12.2773075364343	-27.4925637372123	-12.4100093589529	0.940658717977242	0.374500094228613
915000000	3.4033920414	-12.2708549505707	-27.2129239098224	-12.4123141437488	0.956574398902	0.391708327326989
915000000	3.4557519189	-12.2665315330075	-26.9834832266396	-12.4156473107645	0.971328467981295	0.407962625502687
915000000	3.5081117965	-12.2654275726207	-26.7971069039834	-12.4211602477738	0.984977390770023	0.423082573773409
915000000	3.5604716741	-12.2683064971977	-26.658162186139	-12.4293057410145	0.99777767638016	0.437082003871729
915000000	3.6128315516	-12.2746451162446	-26.5610943944108	-12.4395983912032	1.00971529107023	0.44922643237209
915000000	3.6651914292	-12.2905836732154	-26.5047255794197	-12.4583604919877	1.02098385575775	0.460081558050973
915000000	3.7175513067	-12.3103548748548	-26.4899942396529	-12.4794963052781	1.03164397765089	0.469291951693803
915000000	3.7699111843	-12.3342632341546	-26.513387138469	-12.5034251371487	1.04159436288589	0.476854388279215
915000000	3.8222710619	-12.3673820529312	-26.5737829998791	-12.535464054914	1.05106857132801	0.482584738903187
915000000	3.8746309394	-12.408381704265	-26.6711670703077	-12.5742536641908	1.05999204199171	0.486855009461322
915000000	3.926990817	-12.4558849356382	-26.8026898568148	-12.6185184775912	1.06848044084213	0.489077199742733
915000000	3.9793506945	-12.5114790337951	-26.967404667614	-12.6700025936644	1.07652263160356	0.489805550478308
915000000	4.0317105721	-12.571987151989	-27.1637143212626	-12.7255431453822	1.08388523497912	0.488811705573655
915000000	4.0840704497	-12.635598887782	-27.3902926570724	-12.7834021911825	1.09081167118744	0.486446230709753
915000000	4.1364303272	-12.707142720832	-27.6467407748402	-12.8486837459331	1.09722562640128	0.482494778218479
